job_id,collection_date,country,city,job_title,company,source,job_url,employment_type,work_mode,seniority,salary_min,salary_max,currency,years_experience_min,years_experience_max,education_requirement,description_short,skills_text,notes
UAE_001,2026-05-20,UAE,Dubai,Product Data Analyst Intern,TikTok,GulfTalent,https://www.gulftalent.com/uae/jobs/product-data-analyst-intern-542249,Full-time,,Internship,,,,,,,"Internship analyzing product performance trends, building reporting dashboards, and supporting product strategy with regional and country insights.","SQL, Excel, Tableau, Data Visualization, Dashboarding, Reporting, Stakeholder Communication, Presentation Skills","Internship requires at least 3-month commitment."
UAE_002,2026-05-20,UAE,Dubai,Project Data Analyst Intern,CAGS Management Services DMCC,Bayt,https://www.bayt.com/en/uae/jobs/project-data-analyst-intern-74434493/,,,Internship,,,,,,,"Internship supporting ERP implementation through data validation, system testing, defect logging, documentation, and project reporting.","Data Cleaning, Quality Assurance, Manual Testing, Bug Reporting, Technical Documentation, Reporting, Stakeholder Communication","Bayt notes the post was translated by AI."
UAE_003,2026-05-20,UAE,Dubai,Data Analyst and Visual Content Designer (UAE National),Genius HRTech Services,Bayt,https://www.bayt.com/en/uae/jobs/data-analyst-and-visual-content-designer-uae-national-5448698/,Full-time,,Entry-level,14815,18519,AED,1,3,Bachelor's degree / higher diploma,"Entry-level role analyzing HSE datasets, building dashboards, and preparing visual reports for management and safety-performance decisions.","Excel, Power BI, Dashboarding, Reporting, Data Visualization, Presentation Skills, Stakeholder Communication","UAE nationals only."
UAE_004,2026-05-20,UAE,Dubai,Associate Data Analyst- UAE Nationals only,Delivery Hero SE,Bayt,https://www.bayt.com/en/uae/jobs/associate-data-analyst-uae-nationals-only-74409261/,,,Associate,,,,2,3,"Bachelor's degree in Data Science, Statistics, Mathematics, Engineering, Computer Science, Economics, or related quantitative field","Early-career analytics role supporting product and business teams with SQL analysis, dashboards, reporting, and actionable performance insights.","SQL, Excel, Tableau, Power BI, Looker, Python, R, Data Cleaning, Dashboarding, Reporting, Stakeholder Communication","UAE nationals only; early-career wording but requires 2-3 years."
UAE_005,2026-05-20,UAE,Dubai,Associate Data Analyst,Bayut | dubizzle,GulfTalent,https://www.gulftalent.com/uae/jobs/associate-data-analyst-564163,Full-time,,Associate,,,,2,3,,"Associate strategy analytics role using SQL, Excel, dashboards, and commercial analysis to support growth recommendations and operational decisions.","SQL, Excel, Dashboarding, Reporting, Data Visualization, Stakeholder Communication, Presentation Skills",""
UAE_006,2026-05-21,UAE,Dubai,Data Analyst Intern,Siemens Energy,LinkedIn,https://ae.linkedin.com/jobs/view/data-analyst-intern-at-siemens-energy-4409905197,Full-time,,Internship,,,,,,"Currently pursuing or recently completed bachelor's degree in Engineering, Business Administration, or a related field.","Tableau, Power BI, Excel, Data Visualization, Dashboarding, Reporting, Stakeholder Communication","Title is internship; LinkedIn seniority label is entry-level."
UAE_007,2026-05-21,UAE,Dubai,Data Scientist / AI Engineer Intern,FIVE Hotels and Resorts,LinkedIn,https://ae.linkedin.com/jobs/view/data-scientist-ai-engineer-intern-at-five-hotels-and-resorts-4409347161,Internship,,Internship,,,,,,"Currently pursuing/recently completed master's or final-year bachelor's in Computer Science, Data Science, AI, Applied Mathematics, or related field.","Python, SQL, Machine Learning, Statistics, AWS, Data Cleaning, Stakeholder Communication","Posting describes a 6-month internship; LinkedIn employment type appears as volunteer."
UAE_008,2026-05-21,UAE,Dubai,Associate Data Analyst,Gulf Associates,LinkedIn,https://ae.linkedin.com/jobs/view/associate-data-analyst-at-gulf-associates-4415968021,Full-time,Remote,Entry-level,,,,,,,"Supports consulting work by aggregating Gulf market data, maintaining databases, preparing briefings, and verifying facts for client decisions.","Excel, Data Cleaning, Reporting, Stakeholder Communication","Remote role; posting emphasizes spreadsheets and basic data tools."
UAE_009,2026-05-21,UAE,Dubai,Jr. AI Business Analyst,Simply Solved Accounting & Bookkeeping LLC,Indeed,https://ae.indeed.com/viewjob?jk=f456afea88c4de14,Full-time,On-site,Junior,,,,0,2,"Bachelor's degree in Business Administration, Information Systems, Data Analytics/Data Science, Computer Science/Engineering, Economics, or related field.","Supports AI and analytics use cases, requirements documentation, dashboard UAT, KPI monitoring, and data validation for UAE business operations.","Excel, SQL, Python, Power BI, Tableau, Data Visualization, Dashboarding, Reporting, Manual Testing, Technical Documentation, Stakeholder Communication",""
UAE_010,2026-05-21,UAE,Dubai,Data Analyst – Performance Marketing,Cheil Middle East & Africa,LinkedIn,https://ae.linkedin.com/jobs/view/data-analyst-at-cheil-middle-east-africa-4411155220,Full-time,,Entry-level,,,,2,3,"Bachelor's degree in Marketing, Statistics, Economics, Finance, Data Analytics, or related fields.","Analyzes multi-market performance marketing data, campaign results, audience trends, and pitch insights to support optimization and client recommendations.","Excel, Power BI, Data Visualization, Dashboarding, Reporting, Stakeholder Communication, Presentation Skills","LinkedIn labels entry-level; posting asks for 2–3 years."
